"neighbourhood","n_housings","mean_airbnb_price_usd"
"Abrantes",4,29.5
"Acacias",61,68.8688524590164
"Adelfas",23,101.217391304348
"Aeropuerto",1,35
"Aguilas",7,49.2857142857143
"Alameda de Osuna",9,50.8888888888889
"Almagro",55,110.545454545455
"Almenara",18,60.3333333333333
"Almendrales",18,41.2777777777778
"Aluche",20,34.45
"Ambroz",1,27
"Amposta",1,59
"Apostol Santiago",3,83
"Arapiles",44,99.0454545454545
"Aravaca",11,65.9090909090909
"Arcos",10,47.3
"Argüelles",97,112.907216494845
"Atocha",11,108.090909090909
"Bellas Vistas",43,99.046511627907
"Berruguete",19,61.7368421052632
"Buenavista",4,62.5
"Butarque",2,70.5
"Campamento",2,53.5
"Canillas",24,55.8333333333333
"Canillejas",6,67
"Cármenes",14,60.4285714285714
"Casa de Campo",18,128.944444444444
"Casco Histórico de Barajas",7,55.1428571428571
"Casco Histórico de Vallecas",15,51.5333333333333
"Casco Histórico de Vicálvaro",4,56.25
"Castellana",43,116.325581395349
"Castilla",18,74.5555555555556
"Castillejos",41,74.7317073170732
"Chopera",39,68.3333333333333
"Ciudad Jardín",30,70.1
"Ciudad Universitaria",13,131.384615384615
"Colina",7,84.7142857142857
"Comillas",32,67.90625
"Concepción",25,56.44
"Corralejos",1,281
"Cortes",271,118.771217712177
"Costillares",7,44.7142857142857
"Cuatro Caminos",53,77.1320754716981
"Cuatro Vientos",3,84
"Delicias",62,67.9677419354839
"El Goloso",4,117.25
"El Pardo",1,61
"El Viso",25,115.56
"Embajadores",839,97.5780691299166
"Entrevías",5,36.6
"Estrella",4,84
"Fontarrón",11,44.1818181818182
"Fuente del Berro",24,75.5
"Gaztambide",41,100.536585365854
"Goya",74,117.256756756757
"Guindalera",54,76.8148148148148
"Hellín",3,29.3333333333333
"Hispanoamérica",22,92.3636363636364
"Ibiza",63,86.5238095238095
"Imperial",39,62.4358974358974
"Jerónimos",35,113.828571428571
"Justicia",334,117.494011976048
"La Paz",7,47.7142857142857
"Legazpi",14,69.5714285714286
"Lista",38,106.210526315789
"Los Angeles",6,66
"Los Rosales",5,21.6
"Lucero",21,59.6666666666667
"Marroquina",2,86
"Media Legua",2,29
"Mirasierra",10,55.8
"Moscardó",18,63.8888888888889
"Niño Jesús",15,128.066666666667
"Nueva España",16,128.3125
"Numancia",31,40.7741935483871
"Opañel",26,83.9615384615385
"Orcasitas",3,61.6666666666667
"Orcasur",7,72.2857142857143
"Pacífico",72,83.1944444444444
"Palacio",525,119.75619047619
"Palomas",3,101.666666666667
"Palomeras Bajas",12,78.4166666666667
"Palomeras Sureste",10,41.7
"Palos de Moguer",122,85.516393442623
"Pavones",1,24
"Peñagrande",13,94.3846153846154
"Pilar",13,33.3076923076923
"Pinar del Rey",21,91.3333333333333
"Piovera",11,62.2727272727273
"Portazgo",8,27.25
"Pradolongo",1,44
"Prosperidad",39,82.4358974358974
"Pueblo Nuevo",25,40.4
"Puerta Bonita",10,30.3
"Puerta del Angel",62,56.0967741935484
"Quintana",24,58.25
"Recoletos",68,216.529411764706
"Rejas",14,70.7857142857143
"Rios Rosas",46,100.630434782609
"Rosas",5,87.4
"Salvador",4,39.5
"San Andrés",6,67.6666666666667
"San Cristobal",5,37.6
"San Diego",43,67.953488372093
"San Fermín",12,52.25
"San Isidro",37,57.4054054054054
"San Juan Bautista",7,83.2857142857143
"San Pascual",9,64.4444444444444
"Santa Eugenia",3,62
"Simancas",25,73.52
"Sol",385,119.994805194805
"Timón",9,59
"Trafalgar",82,90.0731707317073
"Universidad",620,111.020967741935
"Valdeacederas",15,81
"Valdefuentes",13,101
"Valdezarza",13,58.2307692307692
"Vallehermoso",16,90.875
"Valverde",17,61
"Ventas",33,50.8787878787879
"Vinateros",2,17.5
"Vista Alegre",20,48.4
"Zofío",3,149.333333333333
